Brass-1	Brass-2	Brass-3	Brass-4	Brass-5	Copper-1	Copper-2	Copper-3	Copper-4	Copper-5	Steel-1	Steel-2	Steel-3	Steel-4	Steel-5	Aluminum-1	Aluminum-2	Aluminum-3	Aluminum-4	Aluminum-5	
°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	
 2.576464e+001	 2.744863e+001	 3.271568e+001	 4.398873e+001	 6.767951e+001	 4.000528e+001	 4.085181e+001	 4.409197e+001	 4.986040e+001	 5.890965e+001	 2.152942e+001	 2.177240e+001	 2.222611e+001	 2.332789e+001	 5.132996e+001	 2.276939e+001	 2.280308e+001	 2.395036e+001	 2.677641e+001	 3.727968e+001	
 2.580180e+001	 2.744882e+001	 3.274089e+001	 4.401294e+001	 6.770858e+001	 4.003316e+001	 4.084888e+001	 4.411182e+001	 4.993716e+001	 5.898953e+001	 2.160782e+001	 2.179816e+001	 2.225138e+001	 2.339736e+001	 5.134578e+001	 2.280588e+001	 2.282153e+001	 2.398800e+001	 2.682479e+001	 3.732762e+001	
 2.576854e+001	 2.748106e+001	 3.273652e+001	 4.405495e+001	 6.767410e+001	 4.004774e+001	 4.092295e+001	 4.418465e+001	 5.000346e+001	 5.899532e+001	 2.156127e+001	 2.173304e+001	 2.223100e+001	 2.336587e+001	 5.134774e+001	 2.277150e+001	 2.279918e+001	 2.399260e+001	 2.680460e+001	 3.735156e+001	
 2.576421e+001	 2.749102e+001	 3.272063e+001	 4.405697e+001	 6.767244e+001	 4.006700e+001	 4.091359e+001	 4.417166e+001	 4.996970e+001	 5.898962e+001	 2.156309e+001	 2.176499e+001	 2.224465e+001	 2.333887e+001	 5.132968e+001	 2.275045e+001	 2.280366e+001	 2.399281e+001	 2.678239e+001	 3.730070e+001	
 2.579191e+001	 2.751463e+001	 3.278394e+001	 4.405067e+001	 6.764259e+001	 4.011578e+001	 4.095230e+001	 4.418960e+001	 4.999142e+001	 5.903893e+001	 2.158993e+001	 2.179882e+001	 2.227431e+001	 2.337926e+001	 5.136720e+001	 2.279098e+001	 2.279553e+001	 2.400677e+001	 2.681770e+001	 3.735291e+001	
 2.582719e+001	 2.750240e+001	 3.279349e+001	 4.408135e+001	 6.773521e+001	 4.016210e+001	 4.095839e+001	 4.419476e+001	 5.001305e+001	 5.908665e+001	 2.158788e+001	 2.176782e+001	 2.223671e+001	 2.337230e+001	 5.140345e+001	 2.280531e+001	 2.284312e+001	 2.400941e+001	 2.682733e+001	 3.735138e+001	
 2.582022e+001	 2.755349e+001	 3.276768e+001	 4.412723e+001	 6.773444e+001	 4.011120e+001	 4.100763e+001	 4.426196e+001	 5.008947e+001	 5.913074e+001	 2.157985e+001	 2.175953e+001	 2.226167e+001	 2.336348e+001	 5.140892e+001	 2.282196e+001	 2.283662e+001	 2.400583e+001	 2.681575e+001	 3.736070e+001	
 2.581729e+001	 2.756172e+001	 3.281626e+001	 4.409286e+001	 6.775600e+001	 4.017183e+001	 4.104300e+001	 4.425778e+001	 5.002914e+001	 5.909198e+001	 2.158694e+001	 2.178000e+001	 2.227692e+001	 2.339583e+001	 5.145540e+001	 2.281623e+001	 2.285374e+001	 2.400111e+001	 2.681891e+001	 3.735713e+001	
 2.586898e+001	 2.756635e+001	 3.281759e+001	 4.412667e+001	 6.779825e+001	 4.018951e+001	 4.104739e+001	 4.429176e+001	 5.012990e+001	 5.914708e+001	 2.155791e+001	 2.175238e+001	 2.224698e+001	 2.336731e+001	 5.140192e+001	 2.278586e+001	 2.282326e+001	 2.401149e+001	 2.681802e+001	 3.734901e+001	
 2.581499e+001	 2.753424e+001	 3.281832e+001	 4.414882e+001	 6.782575e+001	 4.021522e+001	 4.103656e+001	 4.430869e+001	 5.014566e+001	 5.918571e+001	 2.160694e+001	 2.174890e+001	 2.224312e+001	 2.335189e+001	 5.141858e+001	 2.275005e+001	 2.281742e+001	 2.398720e+001	 2.681629e+001	 3.735820e+001	
